ID,L,B,r_h,r_c
NGC 104,305.89,-44.89,3.17,0.36
NGC 288,152.3,-89.38,2.23,1.35
NGC 362,301.53,-46.25,0.82,0.18
Whiting 1,161.22,-60.76,0.22,0.25
NGC 1261,270.54,-52.12,0.68,0.35
Pal 1,130.06,19.03,0.46,0.01
AM 1,258.34,-48.47,0.41,0.17
Eridanus,218.1,-41.33,0.46,0.25
Pal 2,170.53,-9.07,0.5,0.17
NGC 1851,244.51,-35.03,0.51,0.09
NGC 1904,227.23,-29.35,0.65,0.16
NGC 2298,245.63,-16,0.98,0.31
NGC 2419,180.37,25.24,0.89,0.32
Ko 2,195.12,25.54,0.21,0.25
Pyxis,261.32,7,,
NGC 2808,282.19,-11.25,0.8,0.25
E 3,292.27,-19.02,2.1,1.87
Pal 3,240.15,41.86,0.65,0.41
NGC 3201,277.23,8.64,3.1,1.3
Pal 4,202.31,71.8,0.51,0.33
Ko 1,260.99,70.75,0.26,0.33
NGC 4147,252.85,77.19,0.48,0.09
NGC 4372,300.99,-9.88,3.91,1.75
Rup 106,300.88,11.67,1.05,1
NGC 4590,299.63,36.05,1.51,0.58
NGC 4833,303.6,-8.02,2.41,1
NGC 5024,332.96,79.76,1.31,0.35
NGC 5053,335.7,78.95,2.61,2.08
NGC 5139,309.1,14.97,5,2.37
NGC 5272,42.22,78.71,2.31,0.37
NGC 5286,311.61,10.57,0.73,0.28
AM 4,320.28,33.51,0.43,0.41
NGC 5466,42.15,73.59,2.3,1.43
NGC 5634,342.21,49.26,0.86,0.09
NGC 5694,331.06,30.36,0.4,0.06
IC 4499,307.35,-20.47,1.71,0.84
NGC 5824,332.56,22.07,0.45,0.06
Pal 5,0.85,45.86,2.73,2.29
NGC 5897,342.95,30.29,2.06,1.4
NGC 5904,3.86,46.8,1.77,0.44
NGC 5927,326.6,4.86,1.1,0.42
NGC 5946,327.58,4.19,0.89,0.08
BH 176,328.41,4.34,0.9,0.9
NGC 5986,337.02,13.27,0.98,0.47
Lynga 7,328.77,-2.8,1.2,0.9
Pal 14,28.74,42.19,1.22,0.82
NGC 6093,352.67,19.46,0.61,0.15
NGC 6121,350.97,15.97,4.33,1.16
NGC 6101,317.74,-15.82,1.05,0.97
NGC 6144,351.93,15.7,1.63,0.94
NGC 6139,342.37,6.94,0.85,0.15
Terzan 3,345.08,9.19,1.25,1.18
NGC 6171,3.37,23.01,1.73,0.56
1636-283,351.91,12.1,0.5,0.5
NGC 6205,59.01,40.91,1.69,0.62
NGC 6229,73.64,40.31,0.36,0.12
NGC 6218,15.72,26.31,1.77,0.79
FSR 1735,339.19,-1.85,0.34,0.39
NGC 6235,358.92,13.52,1,0.33
NGC 6254,15.14,23.08,1.95,0.77
NGC 6256,347.79,3.31,0.86,0.02
Pal 15,18.88,24.3,1.1,1.2
NGC 6266,353.57,7.32,0.92,0.22
NGC 6273,356.87,9.38,1.32,0.43
NGC 6284,358.35,9.94,0.66,0.07
NGC 6287,0.13,11.02,0.74,0.29
NGC 6293,357.62,7.83,0.89,0.05
NGC 6304,355.83,5.38,1.42,0.21
NGC 6316,357.18,5.76,0.65,0.17
NGC 6341,68.34,34.86,1.02,0.26
NGC 6325,0.97,8,0.63,0.03
NGC 6333,5.54,10.71,0.96,0.45
NGC 6342,4.9,9.72,0.73,0.05
NGC 6356,6.72,10.22,0.81,0.24
NGC 6355,359.59,5.43,0.88,0.05
NGC 6352,341.42,-7.17,2.05,0.83
IC 1257,16.54,15.15,1.4,0.25
Terzan 2,356.32,2.3,1.52,0.03
NGC 6366,18.41,16.04,2.92,2.17
Terzan 4,356.02,1.31,1.85,0.9
HP 1,357.44,2.12,3.1,0.03
NGC 6362,325.55,-17.57,2.05,1.13
Liller 1,354.84,-0.16,,0.06
NGC 6380,350.18,-3.42,0.74,0.34
Terzan 1,357.57,1,3.82,0.04
Ton 2,350.8,-3.42,1.3,0.54
NGC 6388,345.56,-6.74,0.52,0.12
NGC 6402,21.32,14.81,1.3,0.79
NGC 6401,3.45,3.98,1.91,0.25
NGC 6397,338.17,-11.96,2.9,0.05
Pal 6,2.1,1.78,1.2,0.66
NGC 6426,28.09,16.23,0.92,0.26
Djorg 1,356.69,-2.47,1.59,0.5
Terzan 5,3.84,1.69,0.72,0.16
NGC 6440,7.73,3.8,0.48,0.14
NGC 6441,353.53,-5.01,0.57,0.13
Terzan 6,358.57,-2.16,0.44,0.05
NGC 6453,355.72,-3.87,0.44,0.05
UKS 1,5.13,0.76,,0.15
NGC 6496,348.03,-10.01,1.02,0.95
Terzan 9,3.61,-1.99,0.78,0.03
Djorg 2,2.77,-2.5,1.05,0.33
NGC 6517,19.23,6.76,0.5,0.06
Terzan 10,4.49,-1.99,1.55,0.9
NGC 6522,1.02,-3.93,1,0.05
NGC 6535,27.18,10.44,0.85,0.36
NGC 6528,1.14,-4.17,0.38,0.13
NGC 6539,20.8,6.78,1.7,0.38
NGC 6540,3.29,-3.31,,0.03
NGC 6544,5.84,-2.2,1.21,0.05
NGC 6541,349.29,-11.19,1.06,0.18
2MS-GC01,10.48,0.11,1.65,0.85
ESO-SC06,346.9,-12.57,1.05,0.6
NGC 6553,5.26,-3.03,1.03,0.53
2MS-GC02,9.79,-0.61,0.55,0.55
NGC 6558,0.2,-6.02,2.15,0.03
IC 1276,21.83,5.67,2.38,1.01
Terzan 12,8.37,-2.1,0.75,0.83
NGC 6569,0.48,-6.68,0.8,0.35
BH 261,3.36,-5.27,0.55,0.4
GLIMPSE02,14.14,-0.64,,0.7
NGC 6584,342.14,-16.41,0.73,0.26
NGC 6624,2.79,-7.91,0.82,0.06
NGC 6626,7.8,-5.58,1.97,0.24
NGC 6638,7.9,-7.15,0.51,0.22
NGC 6637,1.72,-10.27,0.84,0.33
NGC 6642,9.81,-6.44,0.73,0.1
NGC 6652,1.53,-11.38,0.48,0.1
NGC 6656,9.89,-7.55,3.36,1.33
Pal 8,14.11,-6.79,0.58,0.56
NGC 6681,2.85,-12.51,0.71,0.03
GLIMPSE01,31.31,-0.1,0.65,0.59
NGC 6712,25.35,-4.32,1.33,0.76
NGC 6715,5.61,-14.09,0.82,0.09
NGC 6717,12.88,-10.9,0.68,0.08
NGC 6723,0.07,-17.3,1.53,0.83
NGC 6749,36.2,-2.21,1.1,0.62
NGC 6752,336.49,-25.63,1.91,0.17
NGC 6760,36.11,-3.92,1.27,0.34
NGC 6779,62.66,8.34,1.1,0.44
Terzan 7,3.39,-20.07,0.77,0.49
Pal 10,52.43,2.72,0.99,0.81
Arp 2,8.55,-20.79,1.77,1.19
NGC 6809,8.79,-23.27,2.83,1.8
Terzan 8,5.76,-24.56,0.95,1
Pal 11,31.81,-15.57,1.46,1.19
NGC 6838,56.75,-4.56,1.67,0.63
NGC 6864,20.3,-25.75,0.46,0.09
NGC 6934,52.1,-18.89,0.69,0.22
NGC 6981,35.16,-32.68,0.93,0.46
NGC 7006,63.77,-19.41,0.44,0.17
NGC 7078,65.01,-27.31,1,0.14
NGC 7089,53.37,-35.77,1.06,0.32
NGC 7099,27.18,-46.84,1.03,0.06
Pal 12,30.51,-47.68,1.72,0.02
Pal 13,87.1,-42.7,0.36,0.48
NGC 7492,53.39,-63.48,1.15,0.86
NGC 6402,21.32,14.81,,
NGC 6401,3.45,3.98,,
NGC 6397,338.17,-11.96,,
Pal 6,2.1,1.78,,
NGC 6426,28.09,16.23,,
Djorg 1,356.69,-2.47,,
Terzan 5,3.84,1.69,,
NGC 6440,7.73,3.8,,
NGC 6441,353.53,-5.01,,
Terzan 6,358.57,-2.16,,
NGC 6453,355.72,-3.87,,
UKS 1,5.13,0.76,,
NGC 6496,348.03,-10.01,,
Terzan 9,3.61,-1.99,,
Djorg 2,2.77,-2.5,,
NGC 6517,19.23,6.76,,
Terzan 10,4.49,-1.99,,
NGC 6522,1.02,-3.93,,
NGC 6535,27.18,10.44,,
NGC 6528,1.14,-4.17,,
NGC 6539,20.8,6.78,,
NGC 6540,3.29,-3.31,,
NGC 6544,5.84,-2.2,,
NGC 6541,349.29,-11.19,,
2MS-GC01,10.48,0.11,,
ESO-SC06,346.9,-12.57,,
NGC 6553,5.26,-3.03,,
2MS-GC02,9.79,-0.61,,
NGC 6558,0.2,-6.02,,
